Registered_Email,ActivationCode,UserID,Acc_Act_Link
iOS_30689618441712822124052@grr.la,FpR5iQ,172b51d1-d8f7-ee11-a1fd-000d3ab80899,https://site-stage.artbasel.com/access?action=activate&code=FpR5iQ&userId=172b51d1-d8f7-ee11-a1fd-000d3ab80899&extraAction=&redirect=
iOS_30070422441712822123237@grr.la,GkhLKq,d59ad4d3-d8f7-ee11-a1fd-000d3a6739a5,https://site-stage.artbasel.com/access?action=activate&code=GkhLKq&userId=d59ad4d3-d8f7-ee11-a1fd-000d3a6739a5&extraAction=&redirect=
iOS_29175475451712822123657@grr.la,2XKnux,6e0606d2-d8f7-ee11-a1fd-000d3ab6629b,https://site-stage.artbasel.com/access?action=activate&code=2XKnux&userId=6e0606d2-d8f7-ee11-a1fd-000d3ab6629b&extraAction=&redirect=
iOS_62361718601712822125766@grr.la,qeLHq8,357cf5d2-d8f7-ee11-a1fd-000d3a6735eb,https://site-stage.artbasel.com/access?action=activate&code=qeLHq8&userId=357cf5d2-d8f7-ee11-a1fd-000d3a6735eb&extraAction=&redirect=
iOS_62394857961712822135798@grr.la,arK23s,748087d5-d8f7-ee11-a1fd-000d3ab64c29,https://site-stage.artbasel.com/access?action=activate&code=arK23s&userId=748087d5-d8f7-ee11-a1fd-000d3ab64c29&extraAction=&redirect=
iOS_82542298621712822138810@grr.la,hDJxFD,deb3f7d8-d8f7-ee11-a1fd-000d3abaaabc,https://site-stage.artbasel.com/access?action=activate&code=hDJxFD&userId=deb3f7d8-d8f7-ee11-a1fd-000d3abaaabc&extraAction=&redirect=
iOS_2978360411712822138676@grr.la,pFMdQH,e6e5f2d9-d8f7-ee11-a1fd-000d3a6737e2,https://site-stage.artbasel.com/access?action=activate&code=pFMdQH&userId=e6e5f2d9-d8f7-ee11-a1fd-000d3a6737e2&extraAction=&redirect=
iOS_65910683601712822145772@grr.la,x6XjmF,78449ddf-d8f7-ee11-a1fd-000d3a673423,https://site-stage.artbasel.com/access?action=activate&code=x6XjmF&userId=78449ddf-d8f7-ee11-a1fd-000d3a673423&extraAction=&redirect=
iOS_40692015311712822145381@grr.la,znh5pb,72449ddf-d8f7-ee11-a1fd-000d3a673423,https://site-stage.artbasel.com/access?action=activate&code=znh5pb&userId=72449ddf-d8f7-ee11-a1fd-000d3a673423&extraAction=&redirect=
iOS_86916816761712822145365@grr.la,P2BKZv,71449ddf-d8f7-ee11-a1fd-000d3a673423,https://site-stage.artbasel.com/access?action=activate&code=P2BKZv&userId=71449ddf-d8f7-ee11-a1fd-000d3a673423&extraAction=&redirect=
